timestamp_utc,municipio,municipio_api,departamento,pais,lat,lon,temp,sensacion,temp_min,temp_max,humedad,presion,presion_nivel_mar,presion_suelo,viento,viento_direccion,viento_racha,nubosidad,visibilidad,lluvia_1h,lluvia_3h,nieve_1h,nieve_3h,amanecer_utc,atardecer_utc,timezone_seg,clima_id,clima_principal,descripcion,icono,dt_utc,base,cod
2026-06-27T15:43:52+00:00,Tibana,Tibaná,Boyacá,CO,5.318,-73.3966,20.04,19.9,20.04,20.04,69,1018,1018,750,2.79,144,4.93,76,10000,,,,,2026-06-27T10:43:43+00:00,2026-06-27T23:09:23+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:52+00:00,stations,200
2026-06-27T15:43:52+00:00,Turmeque,Turmequé,Boyacá,CO,5.3241,-73.4906,18.94,18.74,18.94,18.94,71,1018,1018,738,3.4,136,6.22,69,10000,,,,,2026-06-27T10:44:05+00:00,2026-06-27T23:09:46+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:52+00:00,stations,200
2026-06-27T15:43:53+00:00,Umbita,Úmbita,Boyacá,CO,5.2212,-73.457,16.66,16.21,16.66,16.66,70,1018,1018,755,2.76,131,4.68,72,10000,,,,,2026-06-27T10:44:07+00:00,2026-06-27T23:09:27+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:53+00:00,stations,200
2026-06-27T15:43:53+00:00,Viracacha,Ciénega,Boyacá,CO,5.435,-73.2962,17.91,17.51,17.91,17.91,67,1017,1017,736,3.17,162,5.63,63,10000,,,,,2026-06-27T10:43:06+00:00,2026-06-27T23:09:11+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:53+00:00,stations,200
2026-06-27T15:43:53+00:00,Chinavita,Chinavita,Boyacá,CO,5.169,-73.3687,19.16,18.93,19.16,19.16,69,1018,1018,769,2.43,132,3.74,80,10000,,,,,2026-06-27T10:43:52+00:00,2026-06-27T23:09:00+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:53+00:00,stations,200
2026-06-27T15:43:53+00:00,Garagoa,Garagoa,Boyacá,CO,5.0822,-73.3643,21.86,21.96,21.86,21.86,71,1018,1018,794,2.23,124,2.79,86,10000,,,,,2026-06-27T10:44:00+00:00,2026-06-27T23:08:50+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:53+00:00,stations,200
2026-06-27T15:43:54+00:00,Macanal,Macanal,Boyacá,CO,4.9723,-73.32,19.66,19.59,19.66,19.66,73,1018,1018,822,2.03,122,2.08,89,10000,,,,,2026-06-27T10:44:00+00:00,2026-06-27T23:08:28+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:54+00:00,stations,200
2026-06-27T15:43:54+00:00,Pachavita,Pachavita,Boyacá,CO,5.1405,-73.3981,21.38,21.4,21.38,21.38,70,1018,1018,775,2.37,128,3.48,81,10000,,,,,2026-06-27T10:44:02+00:00,2026-06-27T23:09:04+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:54+00:00,stations,200
2026-06-27T15:43:54+00:00,San Luis de Gaceno,San Luis de Gaceno,Boyacá,CO,4.8206,-73.1679,26.9,29.52,26.9,26.9,80,1017,1017,925,0.97,190,0.96,100,10000,,,,,2026-06-27T10:43:40+00:00,2026-06-27T23:07:36+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:54+00:00,stations,200
2026-06-27T15:43:55+00:00,Santa Maria,Santa María,Boyacá,CO,4.8614,-73.2619,23.38,23.81,23.38,23.38,78,1017,1017,883,1.17,135,1.08,96,10000,,,,,2026-06-27T10:43:58+00:00,2026-06-27T23:08:03+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:55+00:00,stations,200
2026-06-27T15:43:55+00:00,Boavita,Boavita,Boyacá,CO,6.329,-72.5823,23.82,23.48,23.82,23.82,47,1015,1015,734,3.74,152,4.78,41,10000,,,,,2026-06-27T10:38:41+00:00,2026-06-27T23:07:53+00:00,-18000,802,Clouds,nubes dispersas,03d,2026-06-27T15:43:55+00:00,stations,200
2026-06-27T15:43:55+00:00,Covarachia,Capitanejo,Boyacá,CO,6.501,-72.7383,26.23,26.23,26.23,26.23,36,1011,1011,809,0.51,192,2.24,10,10000,,,,,2026-06-27T10:39:00+00:00,2026-06-27T23:08:49+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:43:55+00:00,stations,200
2026-06-27T15:43:55+00:00,La Uvita,La Uvita,Boyacá,CO,6.318,-72.5603,21.91,21.41,21.91,21.91,48,1015,1015,727,3.68,156,4.82,48,10000,,,,,2026-06-27T10:38:37+00:00,2026-06-27T23:07:47+00:00,-18000,802,Clouds,nubes dispersas,03d,2026-06-27T15:43:55+00:00,stations,200
2026-06-27T15:43:56+00:00,San Mateo,San Mateo,Boyacá,CO,6.4018,-72.556,24.26,23.94,24.26,24.26,46,1014,1014,749,2.52,215,3.52,30,10000,,,,,2026-06-27T10:38:27+00:00,2026-06-27T23:07:55+00:00,-18000,802,Clouds,nubes dispersas,03d,2026-06-27T15:43:56+00:00,stations,200
2026-06-27T15:43:56+00:00,Sativanorte,Susacón,Boyacá,CO,6.1319,-72.7076,19.99,19.32,19.99,19.99,49,1016,1016,706,4.17,135,5.22,55,10000,,,,,2026-06-27T10:39:32+00:00,2026-06-27T23:08:03+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:56+00:00,stations,200
2026-06-27T15:43:56+00:00,Sativasur,Socotá,Boyacá,CO,6.0935,-72.7127,17.42,16.52,17.42,17.42,50,1016,1016,708,3.52,137,4.94,60,10000,,,,,2026-06-27T10:39:37+00:00,2026-06-27T23:08:00+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:56+00:00,stations,200
